Symbol,Name,Sector,id
HRL,Hormel,Consumer Staples,0
HST,Host Hotels & Resorts,Real Estate,0
HWM,Howmet Aerospace,Industrials,0
HPQ,HP,Information Technology,0
HUM,Humana,Health Care,0
HBAN,Huntington Bancshares,Financials,0
HII,Huntington Ingalls Industries,Industrials,0
IBM,IBM,Information Technology,0
IEX,IDEX Corporation,Industrials,0
IDXX,Idexx Laboratories,Health Care,0
INFO,IHS Markit,Industrials,0
ITW,Illinois Tool Works,Industrials,0
ILMN,Illumina,Health Care,0
INCY,Incyte,Health Care,0
IR,Ingersoll Rand,Industrials,0
INTC,Intel,Information Technology,0
ICE,Intercontinental Exchange,Financials,0
IFF,International Flavors & Fragrances,Materials,0
IP,International Paper,Materials,0
IPG,Interpublic Group,Communication Services,0
INTU,Intuit,Information Technology,0
ISRG,Intuitive Surgical,Health Care,0
IVZ,Invesco,Financials,0
IPGP,IPG Photonics,Information Technology,0
IQV,IQVIA,Health Care,0
IRM,Iron Mountain,Real Estate,0
JBHT,J. B. Hunt,Industrials,0
JKHY,Jack Henry & Associates,Information Technology,0
J,Jacobs Engineering Group,Industrials,0
SJM,JM Smucker,Consumer Staples,0
JNJ,Johnson & Johnson,Health Care,0
JCI,Johnson Controls,Industrials,0
JPM,JPMorgan Chase,Financials,0
JNPR,Juniper Networks,Information Technology,0
KSU,Kansas City Southern,Industrials,0
K,Kellogg's,Consumer Staples,0
KEY,KeyCorp,Financials,0
KEYS,Keysight Technologies,Information Technology,0
KMB,Kimberly-Clark,Consumer Staples,0
KIM,Kimco Realty,Real Estate,0
KMI,Kinder Morgan,Energy,0
KLAC,KLA Corporation,Information Technology,0
KHC,Kraft Heinz,Consumer Staples,0
KR,Kroger,Consumer Staples,0
LHX,L3Harris Technologies,Industrials,0
LH,LabCorp,Health Care,0
LRCX,Lam Research,Information Technology,0
LW,Lamb Weston,Consumer Staples,0
LVS,Las Vegas Sands,Consumer Discretionary,0
LEG,Leggett & Platt,Consumer Discretionary,0
LDOS,Leidos,Industrials,0
LEN,Lennar,Consumer Discretionary,0
LNC,Lincoln National,Financials,0
LIN,Linde,Materials,0
LYV,Live Nation Entertainment,Communication Services,0
LKQ,LKQ Corporation,Consumer Discretionary,0
LMT,Lockheed Martin,Industrials,0
L,Loews Corporation,Financials,0
LOW,Lowe's,Consumer Discretionary,0
LUMN,Lumen Technologies,Communication Services,0
LYB,LyondellBasell,Materials,0
MTB,M&T Bank,Financials,0
MRO,Marathon Oil,Energy,0
MPC,Marathon Petroleum,Energy,0
MKTX,MarketAxess,Financials,0
MAR,Marriott International,Consumer Discretionary,0
MMC,Marsh & McLennan,Financials,0
MLM,Martin Marietta Materials,Materials,0
MAS,Masco,Industrials,0
MA,Mastercard,Information Technology,0
MTCH,Match Group,Communication Services,0
MKC,McCormick & Company,Consumer Staples,0
MCD,McDonald's,Consumer Discretionary,0
MCK,McKesson Corporation,Health Care,0
MDT,Medtronic,Health Care,0
MRK,Merck & Co.,Health Care,0
MET,MetLife,Financials,0
MTD,Mettler Toledo,Health Care,0
MGM,MGM Resorts International,Consumer Discretionary,0
MCHP,Microchip Technology,Information Technology,0
MU,Micron Technology,Information Technology,0
MSFT,Microsoft,Information Technology,0
MAA,Mid-America Apartments,Real Estate,0
MRNA,Moderna,Health Care,0
MHK,Mohawk Industries,Consumer Discretionary,0
TAP,Molson Coors Beverage Company,Consumer Staples,0
MDLZ,Mondelez International,Consumer Staples,0
MPWR,Monolithic Power Systems,Information Technology,0
MNST,Monster Beverage,Consumer Staples,0
MCO,Moody's Corporation,Financials,0
MS,Morgan Stanley,Financials,0
MSI,Motorola Solutions,Information Technology,0
MSCI,MSCI,Financials,0
NDAQ,Nasdaq,Financials,0
NTAP,NetApp,Information Technology,0
NFLX,Netflix,Communication Services,0
NWL,Newell Brands,Consumer Discretionary,0
NEM,Newmont,Materials,0
NWSA,News Corp (Class A),Communication Services,0
NWS,News Corp (Class B),Communication Services,0
NEE,NextEra Energy,Utilities,0
NLSN,Nielsen Holdings,Industrials,0
NKE,Nike,Consumer Discretionary,0
NI,NiSource,Utilities,0
NSC,Norfolk Southern,Industrials,0
NTRS,Northern Trust,Financials,0
NOC,Northrop Grumman,Industrials,0
NLOK,NortonLifeLock,Information Technology,0
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,0
NRG,NRG Energy,Utilities,0
NUE,Nucor,Materials,0
NVDA,Nvidia,Information Technology,0
NVR,NVR,Consumer Discretionary,0
NXPI,NXP,Information Technology,0
ORLY,O'Reilly Automotive,Consumer Discretionary,0
OXY,Occidental Petroleum,Energy,0
ODFL,Old Dominion Freight Line,Industrials,0
OMC,Omnicom Group,Communication Services,0
OKE,Oneok,Energy,0
ORCL,Oracle,Information Technology,0
OGN,Organon & Co.,Health Care,0
OTIS,Otis Worldwide,Industrials,0
PCAR,Paccar,Industrials,0
PKG,Packaging Corporation of America,Materials,0
PH,Parker-Hannifin,Industrials,0
PAYX,Paychex,Information Technology,0
PAYC,Paycom,Information Technology,0
PYPL,PayPal,Information Technology,0
PENN,Penn National Gaming,Consumer Discretionary,0
PNR,Pentair,Industrials,0
PBCT,People's United Financial,Financials,0
PEP,PepsiCo,Consumer Staples,0
PKI,PerkinElmer,Health Care,0
PFE,Pfizer,Health Care,0
PM,Philip Morris International,Consumer Staples,0
PSX,Phillips 66,Energy,0
PNW,Pinnacle West Capital,Utilities,0
PXD,Pioneer Natural Resources,Energy,0
PNC,PNC Financial Services,Financials,0
POOL,Pool Corporation,Consumer Discretionary,0
PPG,PPG Industries,Materials,0
PPL,PPL,Utilities,0
PFG,Principal Financial Group,Financials,0
PG,Procter & Gamble,Consumer Staples,0
PGR,Progressive Corporation,Financials,0
PLD,Prologis,Real Estate,0
PRU,Prudential Financial,Financials,0
PTC,PTC,Information Technology,0
PEG,Public Service Enterprise Group,Utilities,0
PSA,Public Storage,Real Estate,0
PHM,PulteGroup,Consumer Discretionary,0
PVH,PVH,Consumer Discretionary,0
QRVO,Qorvo,Information Technology,0
QCOM,Qualcomm,Information Technology,0
PWR,Quanta Services,Industrials,0
DGX,Quest Diagnostics,Health Care,0
RL,Ralph Lauren Corporation,Consumer Discretionary,0
RJF,Raymond James Financial,Financials,0
RTX,Raytheon Technologies,Industrials,0
O,Realty Income Corporation,Real Estate,0
REG,Regency Centers,Real Estate,0
REGN,Regeneron Pharmaceuticals,Health Care,0
RF,Regions Financial Corporation,Financials,0
RSG,Republic Services,Industrials,0
RMD,ResMed,Health Care,0
RHI,Robert Half International,Industrials,0
ROK,Rockwell Automation,Industrials,0
ROL,Rollins,Industrials,0
ROP,Roper Technologies,Industrials,0
ROST,Ross Stores,Consumer Discretionary,0
RCL,Royal Caribbean Group,Consumer Discretionary,0
SPGI,S&P Global,Financials,0
CRM,Salesforce,Information Technology,0
SBAC,SBA Communications,Real Estate,0
SLB,Schlumberger,Energy,0
STX,Seagate Technology,Information Technology,0
SEE,Sealed Air,Materials,0
SRE,Sempra Energy,Utilities,0
NOW,ServiceNow,Information Technology,0
SHW,Sherwin-Williams,Materials,0
SPG,Simon Property Group,Real Estate,0
SWKS,Skyworks Solutions,Information Technology,0
SNA,Snap-on,Industrials,0
SO,Southern Company,Utilities,0
LUV,Southwest Airlines,Industrials,0
SWK,Stanley Black & Decker,Industrials,0
SBUX,Starbucks,Consumer Discretionary,0
STT,State Street Corporation,Financials,0
STE,Steris,Health Care,0
SYK,Stryker Corporation,Health Care,0
SIVB,SVB Financial,Financials,0
SYF,Synchrony Financial,Financials,0
SNPS,Synopsys,Information Technology,0
SYY,Sysco,Consumer Staples,0
TMUS,T-Mobile US,Communication Services,0
TROW,T. Rowe Price,Financials,0
TTWO,Take-Two Interactive,Communication Services,0
TPR,Tapestry,Consumer Discretionary,0
TGT,Target Corporation,Consumer Discretionary,0
TEL,TE Connectivity,Information Technology,0
TDY,Teledyne Technologies,Industrials,0
TFX,Teleflex,Health Care,0
TER,Teradyne,Information Technology,0
TSLA,Tesla,Consumer Discretionary,0
TXN,Texas Instruments,Information Technology,0
TXT,Textron,Industrials,0
COO,The Cooper Companies,Health Care,0
HIG,The Hartford,Financials,0
HSY,The Hershey Company,Consumer Staples,0
MOS,The Mosaic Company,Materials,0
TRV,The Travelers Companies,Financials,0
DIS,The Walt Disney Company,Communication Services,0
TMO,Thermo Fisher Scientific,Health Care,0
TJX,TJX Companies,Consumer Discretionary,0
TSCO,Tractor Supply Company,Consumer Discretionary,0
TT,Trane Technologies,Industrials,0
TDG,TransDigm Group,Industrials,0
TRMB,Trimble,Information Technology,0
TFC,Truist Financial,Financials,0
TWTR,Twitter,Communication Services,0
TYL,Tyler Technologies,Information Technology,0
TSN,Tyson Foods,Consumer Staples,0
USB,U.S. Bancorp,Financials,0
UDR,UDR,Real Estate,0
ULTA,Ulta Beauty,Consumer Discretionary,0
UAA,Under Armour (Class A),Consumer Discretionary,0
UA,Under Armour (Class C),Consumer Discretionary,0
UNP,Union Pacific,Industrials,0
UAL,United Airlines,Industrials,0
UPS,United Parcel Service,Industrials,0
URI,United Rentals,Industrials,0
UNH,UnitedHealth Group,Health Care,0
UHS,Universal Health Services,Health Care,0
VLO,Valero Energy,Energy,0
VTR,Ventas,Real Estate,0
VRSN,Verisign,Information Technology,0
VRSK,Verisk Analytics,Industrials,0
VZ,Verizon Communications,Communication Services,0
VRTX,Vertex Pharmaceuticals,Health Care,0
VFC,VF Corporation,Consumer Discretionary,0
VIAC,ViacomCBS,Communication Services,0
VTRS,Viatris,Health Care,0
V,Visa,Information Technology,0
VNO,Vornado Realty Trust,Real Estate,0
VMC,Vulcan Materials,Materials,0
WRB,W. R. Berkley Corporation,Financials,0
GWW,W. W. Grainger,Industrials,0
WAB,Wabtec,Industrials,0
WBA,Walgreens Boots Alliance,Consumer Staples,0
WMT,Walmart,Consumer Staples,0
WM,Waste Management,Industrials,0
WAT,Waters Corporation,Health Care,0
WEC,WEC Energy Group,Utilities,0
WFC,Wells Fargo,Financials,0
WELL,Welltower,Real Estate,0
WST,West Pharmaceutical Services,Health Care,0
WDC,Western Digital,Information Technology,0
WU,Western Union,Information Technology,0
WRK,WestRock,Materials,0
WY,Weyerhaeuser,Real Estate,0
WHR,Whirlpool Corporation,Consumer Discretionary,0
WMB,Williams Companies,Energy,0
WLTW,Willis Towers Watson,Financials,0
WYNN,Wynn Resorts,Consumer Discretionary,0
XEL,Xcel Energy,Utilities,0
XLNX,Xilinx,Information Technology,0
XYL,Xylem,Industrials,0
YUM,Yum! Brands,Consumer Discretionary,0
ZBRA,Zebra Technologies,Information Technology,0
ZBH,Zimmer Biomet,Health Care,0
ZION,Zions Bancorp,Financials,0
ZTS,Zoetis,Health Care,0
